  UID   PID  PPID   C STIME   TTY           TIME CMD
    0     1     0   0  8:33AM ??         1:41.26 /sbin/launchd
    0    87     1   0  8:33AM ??         1:40.86 /usr/libexec/logd
    0    88     1   0  8:33AM ??         0:00.06 /usr/libexec/smd
    0    89     1   0  8:33AM ??         0:10.14 /usr/libexec/UserEventAgent (System)
    0    91     1   0  8:33AM ??         0:01.31 /System/Library/PrivateFrameworks/Uninstall.framework/Resources/uninstalld
    0    92     1   0  8:33AM ??         2:04.27 /System/Library/Frameworks/CoreServices.framework/Versions/A/Frameworks/FSEvents.framework/Versions/A/Support/fseventsd
    0    93     1   0  8:33AM ??         0:10.84 /System/Library/PrivateFrameworks/MediaRemote.framework/Support/mediaremoted
    0    96     1   0  8:33AM ??         0:03.65 /usr/sbin/systemstats --daemon
    0    99     1   0  8:33AM ??         0:15.37 /usr/libexec/configd
    0   100     1   0  8:33AM ??         0:00.02 endpointsecurityd
    0   101     1   0  8:33AM ??         0:29.77 /System/Library/CoreServices/powerd.bundle/powerd
    0   102     1   0  8:33AM ??         0:00.15 /usr/libexec/IOMFB_bics_daemon
  289   103     1   0  8:33AM ??         0:02.32 /System/Library/PrivateFrameworks/BiomeStreams.framework/Support/biomed
    0   105     1   0  8:33AM ??         0:00.93 /usr/libexec/amfid
    0   107     1   0  8:33AM ??         0:00.03 /usr/libexec/remoted
    0   109     1   0  8:33AM ??         0:00.01 /usr/libexec/keybagd -t 15
  200   110     1   0  8:33AM ??         0:00.48 /System/Library/PrivateFrameworks/MobileSoftwareUpdate.framework/Support/softwareupdated
    0   112     1   0  8:33AM ??         0:01.42 /usr/libexec/watchdogd
    0   116     1   0  8:33AM ??         5:55.57 /System/Library/Frameworks/CoreServices.framework/Frameworks/Metadata.framework/Support/mds
  240   117     1   0  8:33AM ??         0:00.12 /System/Library/CoreServices/iconservicesd
    0   118     1   0  8:33AM ??         0:00.79 /usr/libexec/kernelmanagerd
    0   119     1   0  8:33AM ??         0:02.07 /usr/libexec/diskarbitrationd
    0   122     1   0  8:33AM ??         1:40.55 /usr/libexec/coreduetd
    0   123     1   0  8:33AM ??         0:01.28 /usr/sbin/syslogd
    0   126     1   0  8:33AM ??         0:06.64 /usr/libexec/thermalmonitord
    0   127     1   0  8:33AM ??         1:19.83 /usr/libexec/opendirectoryd
    0   128     1   0  8:33AM ??         0:10.23 /System/Library/PrivateFrameworks/ApplePushService.framework/apsd
    0   129     1   0  8:33AM ??         4:48.03 /System/Library/CoreServices/launchservicesd
  266   130     1   0  8:33AM ??         0:00.69 /usr/libexec/timed
  213   131     1   0  8:33AM ??         0:00.12 /System/Library/PrivateFrameworks/MobileDevice.framework/Versions/A/Resources/usbmuxd -launchd
    0   132     1   0  8:33AM ??         0:05.03 /usr/sbin/securityd -i
  205   134     1   0  8:33AM ??         5:06.12 /usr/libexec/locationd
    0   136     1   0  8:33AM ??         0:00.01 autofsd
    0   137     1   0  8:33AM ??         0:31.84 /usr/libexec/dasd
  241   139     1   0  8:33AM ??         0:10.81 /usr/sbin/distnoted daemon
    0   140     1   0  8:33AM ??         0:00.05 /System/Library/PrivateFrameworks/AppleCredentialManager.framework/AppleCredentialManagerDaemon
    0   141     1   0  8:33AM ??         1:49.13 /usr/libexec/PerfPowerServices
    0   142     1   0  8:33AM ??         0:00.02 /usr/libexec/dirhelper
    0   143     1   0  8:33AM ??         0:00.04 /System/Library/CoreServices/logind
    0   144     1   0  8:33AM ??         0:00.51 /System/Library/PrivateFrameworks/GenerationalStorage.framework/Versions/A/Support/revisiond
    0   145     1   0  8:33AM ??         0:00.01 /usr/sbin/KernelEventAgent
    0   146     1   0  8:33AM ??         0:03.19 /usr/libexec/usermanagerd -t 15
    0   148     1   0  8:33AM ??         4:43.47 /usr/sbin/bluetoothd
    0   149     1   0  8:33AM ??         0:20.66 /usr/sbin/notifyd
    0   150     1   0  8:33AM ??         0:00.71 /usr/libexec/sandboxd
    0   151     1   0  8:33AM ??         1:32.65 /usr/libexec/corebrightnessd --launchd
    0   152     1   0  8:33AM ??         0:08.23 /usr/libexec/AirPlayXPCHelper
    0   153     1   0  8:33AM ??         0:01.47 /System/Library/Frameworks/CoreMediaIO.framework/Versions/A/Resources/com.apple.cmio.registerassistantservice
   88   154     1   0  8:33AM ??        54:32.16 /System/Library/PrivateFrameworks/SkyLight.framework/Resources/WindowServer -daemon
    0   155     1   0  8:33AM ??         0:13.77 /usr/sbin/cfprefsd daemon
    0   156     1   0  8:33AM ??         0:11.38 /System/Library/PrivateFrameworks/TCC.framework/Support/tccd system
    0   157     1   0  8:33AM ??         0:00.02 aslmanager
  501   158     1   0  8:33AM ??         0:15.32 /System/Library/CoreServices/loginwindow.app/Contents/MacOS/loginwindow console
    0   159     1   0  8:33AM ??         0:04.42 /usr/libexec/lsd runAsRoot
    0   161     1   0  8:33AM ??        10:23.07 /usr/libexec/runningboardd
    0   166     1   0  8:33AM ??         0:00.65 /System/Library/CoreServices/coreservicesd
    0   169     1   0  8:33AM ??         0:07.52 /System/Library/PrivateFrameworks/CoreDuetContext.framework/Resources/contextstored
    0   176     1   0  8:33AM ??         0:00.01 /System/Library/Frameworks/CoreServices.framework/Versions/A/Frameworks/CarbonCore.framework/Versions/A/XPCServices/csnameddatad.xpc/Contents/MacOS/csnameddatad
  282   177     1   0  8:33AM ??         0:38.73 /usr/libexec/trustd
    0   178     1   0  8:33AM ??         4:04.63 /usr/libexec/airportd
    0   179     1   0  8:33AM ??         0:00.57 /usr/libexec/nehelper
  242   180     1   0  8:33AM ??         0:03.14 /usr/libexec/nsurlsessiond --privileged
    0   181     1   0  8:33AM ??         0:00.06 /usr/libexec/logd_helper
  263   182     1   0  8:33AM ??         0:05.80 /System/Library/PrivateFrameworks/CoreAnalytics.framework/Support/analyticsd
    0   183     1   0  8:33AM ??         0:00.90 /usr/sbin/distnoted agent
  202   185     1   0  8:33AM ??         0:29.16 /usr/sbin/coreaudiod
    0   186     1   0  8:33AM ??         0:00.25 /System/Library/CoreServices/backupd.bundle/Contents/Resources/backupd-helper -launchd
    0   190     1   0  8:33AM ??         0:01.54 /usr/libexec/PowerUIAgent
    0   191     1   0  8:33AM ??         2:44.44 /usr/libexec/apfsd
    0   192     1   0  8:33AM ??         0:00.01 /usr/libexec/cryptexd
    0   193     1   0  8:33AM ??         0:04.69 /System/Library/PrivateFrameworks/SystemStatusServer.framework/Support/systemstatusd
    0   195     1   0  8:33AM ??         0:28.22 /usr/libexec/mobileassetd
    0   196     1   0  8:33AM ??         0:00.06 /usr/libexec/usbd
    0   198     1   0  8:33AM ??         0:00.49 /usr/libexec/biometrickitd --launchd
  261   199     1   0  8:33AM ??         0:00.50 /usr/libexec/hidd
   88   201     1   0  8:33AM ??         0:00.61 /usr/sbin/distnoted agent
  202   203     1   0  8:33AM ??         0:00.59 /usr/sbin/distnoted agent
    0   204     1   0  8:33AM ??         0:00.04 /usr/libexec/trustdFileHelper
    0   205     1   0  8:33AM ??         0:00.09 /usr/libexec/containermanagerd_system --runmode=privileged --user-container-mode=current --bundle-container-mode=global --bundle-container-owner=_appinstalld --system-container-mode=none
    0   206     1   0  8:33AM ??         0:00.01 /System/Library/PrivateFrameworks/PowerLog.framework/Versions/A/XPCServices/PerfPowerTelemetryClientRegistrationService.xpc/Contents/MacOS/PerfPowerTelemetryClientRegistrationService
    0   224     1   0  8:33AM ??         0:00.04 /usr/libexec/secinitd
    0   237     1   0  8:33AM ??         0:00.03 /usr/libexec/colorsync.displayservices
    0   238     1   0  8:33AM ??         0:00.98 /System/Library/Frameworks/Security.framework/Versions/A/XPCServices/authd.xpc/Contents/MacOS/authd
    0   239     1   0  8:33AM ??         0:00.01 /System/Library/Frameworks/NetFS.framework/Versions/A/XPCServices/PlugInLibraryService.xpc/Contents/MacOS/PlugInLibraryService
   65   240     1   0  8:33AM ??         0:45.36 /usr/sbin/mDNSResponder
   24   243     1   0  8:33AM ??         0:18.21 /usr/libexec/symptomsd
    0   244     1   0  8:33AM ??         0:01.76 /usr/sbin/mDNSResponderHelper
    0   245     1   0  8:33AM ??         0:00.82 /usr/libexec/findmydeviced
    0   246     1   0  8:33AM ??         0:00.01 /System/Library/Frameworks/ColorSync.framework/Versions/A/XPCServices/com.apple.ColorSyncXPCAgent.xpc/Contents/MacOS/com.apple.ColorSyncXPCAgent
